BITS E593,READING COURSE I,-,-,5,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
BITS E661,RESEARCH METHODOLOGY I,-,-,5,1,ARAVINDA N RAGHAVAN,T Th S,5,
,,,,,,,,,
,,,,,,Aswathy Raveendran,,,
,,,,,,,,,
,,,,,,Murari R R Varma,,,
,,,,,,,,,
BITS E793T,PRACTICE LECT SERIES I,-,-,1,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
BITS F110,ENGINEERING GRAPHICS,1,2,2,3,C P Kiran,F,1,
,,,,,,,,,
,Practical,,,,10,C P Kiran,M,6 7,
,,,,,,,,,
,Tutorial,,,,11,C P Kiran,T,6,
,,,,,,,,,
BITS F111,THERMODYNAMICS,3,-,3,10,N Jalaiah,M W F,5,
,,,,,,,,,
,Tutorial,,,,10,N Jalaiah,Th,7,
,,,,,,,,,
BITS F112,TECHNICAL REPORT WRITING,2,-,2,7,Shilpaa Anand,T Th,6,
,,,,,,,,,
,,,,,,Anhiti Patnaik,,,
,,,,,,,,,
,,,,,,Santosh  Mahapatra,,,
,,,,,,,,,
BITS F214,SCIENCE TECH & MODERNITY,3,-,3,1,BISWANATH DASH,M W F,5,
,,,,,,,,,
BITS F218,GENERAL MATHEMATICS III,3,-,3,1,JAGAN MOHAN J,M W F,5,
,,,,,,,,,
,,,,,,DK Satpathi,,,
,,,,,,,,,
,Tutorial,,,,,DK Satpathi,Th,1,
,,,,,,,,,
,,,,,,Jagan Mohan J,,,
,,,,,,,,,
BITS F225,ENVIRONMENTAL STUDIES,3,-,3,1,K RAJITHA,M W F,4,
,,,,,,,,,
,,,,,,D Ramaiah,,,
,,,,,,,,,
,,,,,,Suman Kapur,,,
,,,,,,,,,
"COMCOD",COURSE NO.,COURSE TITLE,"CREDITL   P   U","S EC","INSTRUCTOR-IN-CHARGE/Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
BITS F312,NEURAL NETWORKS AND FUZZY LOGIC,3,-,3,1,RAJESH KUMAR TRIPATHY,M W F,3,
,,,,,,,,,
BITS F314,GAME THEORY AND ITS APPLICATIONS,3,-,3,1,DURGESH C PATHAK,M W F,3,
,,,,,,,,,
BITS F319,NEGOTIATION SKILLS AND TECHNIQUES,2,-,2,1,R RAGHUNATHAN,T Th,7,
,,,,,,,,,
BITS F327,"ARTIFICIAL INTELLIGENCE FORROBOTICS",3,1,4,1,ARSHAD JAVED,M W F,2,
,,,,,,,,,
,,,,,,V Sandeep,,,
,,,,,,,,,
,Practical,,,,,Arshad Javed,Th,8 9,
,,,,,,,,,
,,,,,,G Lakshmi Srinivas,,,
,,,,,,,,,
BITS F364,HUMAN COMPUTER INTERACTION,3,-,3,1,DIPANJAN CHAKRABORTY,M W F,3,
,,,,,,,,,
BITS F385,INTRO TO GENDER STUDIES,3,-,3,1,ASWATHY RAVEENDRAN,M W F,4,
,,,,,,,,,
BITS F386,QUANTUM INFO & COMPUTING,3,-,3,1,K V SHIV CHAITANYA,M W F,2,
,,,,,,,,,
BITS F412,PRACTICE SCHOOL II,-,-,20,1,SP REGALLA,,,
,,,,,,,,,
BITS F413,PRACTICE SCHOOL II,-,-,20,1,SP REGALLA,,,
,,,,,,,,,
BITS F415,INTRODUCTION TO MEMS,3,1,4,1,SANKET GOEL,T Th S,4,
,,,,,,,,,
,Practical,,,,1,Sanket Goel,M,2 3,
,,,,,,,,,
,,,,,,Jayapiriya U S,,,
,,,,,,,,,
,,,,,,K Avinash,,,
,,,,,,,,,
,,,,,,Sarala Bhavani Kallepalli,,,
,,,,,,,,,
,,,,,2,Sanket Goel,F,5 6,
,,,,,,,,,
,,,,,,Jayapiriya U S,,,
,,,,,,,,,
,,,,,,K Avinash,,,
,,,,,,,,,
,,,,,,Sarala Bhavani Kallepalli,,,
,,,,,,,,,
BITS F416,INTRO TO NANO SCIENCE,3,-,3,1,VSN MURTHY,M W F,3,
,,,,,,,,,
,,,,,,B Harihara  Venkataraman,,,
,,,,,,,,,
BITS F421T,THESIS,-,-,16,1,A VASAN,,,
,,,,,,,,,
"COMCOD",COURSE NO.,COURSE TITLE,"CREDITL   P   U","S EC","INSTRUCTOR-IN-CHARGE/Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
BITS F428,ESSENTIALS OF STRATE MGT,3,-,3,1,SWATI ALOK,T Th S,3,
,,,,,,,,,
BITS F437,TECHNICAL COMMUNICATION,3,-,3,1,SANTOSH  MAHAPATRA,M W F,1,
,,,,,,,,,
,,,,,,Revathy Hemachandran,,,
,,,,,,,,,
BITS F441T,SEMINAR,-,-,1,1,A VASAN,,,
,,,,,,,,,
BITS F462,RENEWABLE ENERGY,3,-,3,1,M SRINIVAS,T Th S,4,
,,,,,,,,,
BITS F463,CRYPTOGRAPHY,3,-,3,1,AMIT  KUMAR PANDA,T Th S,3,
,,,,,,,,,
BITS G513,STUDY IN ADVANCED TOPICS,-,-,5,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
BITS G529,RESEARCH PROJECT I,-,-,6,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
BITS G539,RESEARCH PROJECT II,-,-,6,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
BITS G540,RESEARCH PRACTICE,-,-,4,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
BITS G553,REAL TIME SYSTEMS,-,-,5,1,SOUMYA J,M W F,2,
,,,,,,,,,
BITS G562T,DISSERTATION,-,-,16,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
BITS G649,READING COURSE,-,-,5,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
CE F211,MECHANICS OF SOLIDS,3,-,3,1,CHANDU PARIMI,T Th S,4,
,,,,,,,,,
,Tutorial,,,,,Chandu Parimi,T,1,
,,,,,,,,,
CE F213,SURVEYING,3,1,4,1,K RAJITHA,T Th S,5,
,,,,,,,,,
,Practical,,,,,Sandra Maria Cherian,W,7 8,
,,,,,,,,,
,,,,,,M Mounika,,,
,,,,,,,,,
,Tutorial,,,,,K Rajitha,S,1,
,,,,,,,,,
CE F230,CIVIL ENGINEERING MATERIALS,3,1,4,1,BAHURUDEEN A,M W F,2,
,,,,,,,,,
,Practical,,,,,Jittin Varghese,F,7 8,
,,,,,,,,,
,,,,,,Gowlla Jyothsna,,,
,,,,,,,,,
,Tutorial,,,,,Bahurudeen A,Th,9,
,,,,,,,,,
CE F231,FLUID MECHANICS,3,-,3,1,K SRINIVASA RAJU,M W F,3,
,,,,,,,,,
,Tutorial,,,,,K Srinivasa Raju,Th,1,
,,,,,,,,,
,,,,,,Vogeti Rishith Kumar,,,
,,,,,,,,,
CE F266,STUDY PROJECT,-,-,3,1,ANASUA GUHARAY,,,
,,,,,,,,,
"COMCOD",COURSE NO.,COURSE TITLE,"CREDITL   P   U","S EC","INSTRUCTOR-IN-CHARGE/Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
CE F312,HYDRAULIC ENGINEERING,3,1,4,1,ANMALA JAGADEESH,M W F,8,
,,,,,,,,,
,Practical,,,,1,T Venkateswarlu,Th,8 9,
,,,,,,,,,
,,,,,2,M Naveen Naidu,M,6 7,
,,,,,,,,,
,,,,,3,Nagalapalli Satish,W,6 7,
,,,,,,,,,
,Tutorial,,,,,Anmala Jagadeesh,M,1,
,,,,,,,,,
CE F313,FOUNDATION ENGINEERING,3,-,3,1,ANASUA GUHARAY,M W F,4,
,,,,,,,,,
,Tutorial,,,,,Anasua Guharay,W,1,
,,,,,,,,,
,,,,,,G Sachin Chakravart,,,
,,,,,,,,,
CE F320,DESIGN OF REINFORCED CONCRETE,3,-,3,1,ARKAMITRA KAR,T Th S,2,
,,,,,,,,,
,,,,,,Sk Rahaman,,,
,,,,,,,,,
,Tutorial,,,,,Arkamitra Kar,F,1,
,,,,,,,,,
,,,,,,R Kruthi Kiran,,,
,,,,,,,,,
CE F323,INTRO TO ENVIRN ENGG,3,-,3,1,MURARI R R VARMA,M W F,9,
,,,,,,,,,
CE F366,LABORATORY PROJECT,-,-,3,1,ARKAMITRA KAR,,,
,,,,,,,,,
CE F367,LABORATORY PROJECT,-,-,3,1,ARKAMITRA KAR,,,
,,,,,,,,,
CE F376,DESIGN PROJECT,-,-,3,1,BANDHAN BANDHU MAJU,,,
,,,,,,,,,
CE F377,DESIGN PROJECT,-,-,3,1,BANDHAN BANDHU MAJU,,,
,,,,,,,,,
CE F411,OPER RESEARCH FOR ENGIN,3,-,3,1,A VASAN,T Th S,4,
,,,,,,,,,
CE F417,APP OF AI IN CIVIL ENGG,3,-,3,1,ANMALA JAGADEESH,T Th S,5,
,,,,,,,,,
CE F426,GEOSYN & REIN SOIL STR,3,-,3,1,ANASUA GUHARAY,T Th S,3,
,,,,,,,,,
,,,,,,Syed Mazhar,,,
,,,,,,,,,
CE G514,STRUCTURAL OPTIMIZATION,3,1,4,1,A VASAN,M W F,5,
,,,,,,,,,
,Practical,,,,,A Vasan,T,8 9,
,,,,,,,,,
CE G516,MULTI CRITER ANAL IN ENGG,3,1,4,1,K SRINIVASA RAJU,T Th S,4,
,,,,,,,,,
,Practical,,,,,K Srinivasa Raju,Th,8 9,
,,,,,,,,,
CE G534,PAVEMENT MATERIAL CHARAC,3,1,4,1,SRIDHAR RAJU,T Th S,3,
,,,,,,,,,
"COMCOD",COURSE NO.,COURSE TITLE,"CREDITL   P   U","S EC","INSTRUCTOR-IN-CHARGE/Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,Practical,,,,,Sridhar Raju,W,8 9,
,,,,,,,,,
CE G537,TRANSPORT ECON & FINANCE,3,1,4,1,BANDHAN BANDHU MAJU,M W F,4,
,,,,,,,,,
,Practical,,,,,Bandhan Bandhu Majumdar,M,8 9,
,,,,,,,,,
CE G545,AIRPORT PLANNING & DES,3,1,4,1,SRIDHAR RAJU,M W F,5,
,,,,,,,,,
,Practical,,,,,Sridhar Raju,T,8 9,
,,,,,,,,,
CE G548,PAVEMENT MGMT SYSTEMS,3,1,4,1,V VINAYAKA RAM,T Th S,2,
,,,,,,,,,
,Practical,,,,,V Vinayaka Ram,W,8 9,
,,,,,,,,,
CE G551,DYNAMICS OF STRUCTURES,3,1,4,1,MOHAN S C,T Th S,4,
,,,,,,,,,
,Practical,,,,,Mohan S C,W,8 9,
,,,,,,,,,
,,,,,,Sheik Mohammed Zoheb Na,,,
,,,,,,,,,
CE G552,ADV STR MECH & STABILITY,3,1,4,1,SHIVANG SHEKHAR,M W F,2,
,,,,,,,,,
,Practical,,,,,Shivang Shekhar,M,8 9,
,,,,,,,,,
CE G553,THEORY OF PLATES AND SHELLS,3,1,4,1,CHANDU PARIMI,M W F,3,
,,,,,,,,,
,Practical,,,,,Chandu Parimi,F,8 9,
,,,,,,,,,
CE G565,TRANSPORTATION PLANNING,3,1,4,1,PRASANTA KUMAR SAHU,M W F,2,
,,,,,,,,,
,Practical,,,,,Prasanta Kumar Sahu,T,8 9,
,,,,,,,,,
CE G567,HIGHWAY DESIGN,3,1,4,1,V VINAYAKA RAM,M W F,3,
,,,,,,,,,
,Practical,,,,,V Vinayaka Ram,M,8 9,
,,,,,,,,,
CE G568,TRAFFIC SYSTEMS ANALYSIS,3,1,4,1,BANDHAN BANDHU MAJU,T Th S,2,
,,,,,,,,,
,Practical,,,,,Bandhan Bandhu Majumdar,Th,8 9,
,,,,,,,,,
CE G572,TRANSPORTATION DATA ANALYTICS,3,1,4,1,PRASANTA KUMAR SAHU,T Th S,5,
,,,,,,,,,
,Practical,,,,,Prasanta Kumar Sahu,F,8 9,
,,,,,,,,,
CE G612,ADVANCED STEEL STRUCTURE,3,1,4,1,MOHAN S C,M W F,4,
,,,,,,,,,
,,,,,,Ch Bala Venkata Hareen,,,
,,,,,,,,,
,Practical,,,,,Mohan S C,Th,8 9,
,,,,,,,,,
CE G614,PRESTRESS CONCRETE STRUC,3,1,4,1,BAHURUDEEN A,T Th S,5,
,,,,,,,,,
"COMCOD",COURSE NO.,COURSE TITLE,"CREDITL   P   U","S EC","INSTRUCTOR-IN-CHARGE/Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,Practical,,,,,Bahurudeen A,W,8 9,
,,,,,,,,,
CE G616,BRIDGE ENGINEERING,3,1,4,1,PN RAO,T Th S,3,
,,,,,,,,,
,Practical,,,,,PN Rao,M,8 9,
,,,,,,,,,
CE G617,ADVANCE STRUC ANALYSIS,3,1,4,1,ARKAMITRA KAR,M W F,4,
,,,,,,,,,
,,,,,,Radha Kiranmaye Bandlamu,,,
,,,,,,,,,
,Practical,,,,,Arkamitra Kar,T,8 9,
,,,,,,,,,
CE G619,FINITE ELEMENT ANALYSIS,3,2,5,1,PN RAO,M W F,3,
,,,,,,,,,
,Practical,,,,,PN Rao,Th,8 9,
,,,,,,,,,
CHE F211,CHEMICAL PROCESS CALCULA,3,-,3,1,PANKAJ KUMAR,T Th S,4,
,,,,,,,,,
,Tutorial,,,,,Pankaj Kumar,T,1,
,,,,,,,,,
CHE F212,FLUID MECHANICS,3,-,3,1,VED PRAKASH MISHRA,M W F,2,
,,,,,,,,,
,Tutorial,,,,,Ved Prakash Mishra,S,1,
,,,,,,,,,
CHE F213,CHEM ENGG THERMODYNAMICS,3,-,3,1,D PURNIMA,M W F,3,
,,,,,,,,,
,Tutorial,,,,,D Purnima,Th,9,
,,,,,,,,,
CHE F214,ENGINEERING CHEMISTRY,3,-,3,1,KARTHIK CHETAN,T Th S,5,
,,,,,,,,,
,Tutorial,,,,,Karthik Chetan,Th,1,
,,,,,,,,,
CHE F266,STUDY PROJECT,-,-,3,1,SRIKANTA DINDA,,,
,,,,,,,,,
CHE F311,KINETICS & REACTOR DESIGN,3,-,3,1,I SREEDHAR,T Th S,3,
,,,,,,,,,
,Tutorial,,,,,I Sreedhar,M,1,
,,,,,,,,,
CHE F313,SEPARATION PROCESSES II,3,-,3,1,BALAJI KRISHNAMURTHY,M W F,9,
,,,,,,,,,
,Tutorial,,,,,Balaji Krishnamurthy,F,1,
,,,,,,,,,
CHE F314,PROCESS DES PRINCIPLES I,3,-,3,1,SATYAPAUL SINGH AMART,T Th S,2,
,,,,,,,,,
,Tutorial,,,,,Satyapaul Singh Amarthaluri,W,1,
,,,,,,,,,
,,,,,,P Pradeep Reddy,,,
,,,,,,,,,
CHE F342,PROCESS DYN & CONTROL,3,-,3,1,JAIDEEP CHATTERJEE,M W F,8,
,,,,,,,,,
,Tutorial,,,,,Jaideep Chatterjee,Th,9,
,,,,,,,,,
CHE F376,DESIGN PROJECT,-,-,3,1,VIKRANT KUMAR S,,,
,,,,,,,,,
